time,v
419,2.7497069040934243
420,0.0
421,0.0
422,0.0
423,0.0
424,0.0
425,0.017301771375868056
426,0.036842558119032115
427,0.0
428,0.0
429,0.0
430,0.0
431,0.0
432,0.0
433,0.0
434,0.0
435,0.0
436,0.0
437,0.0
438,0.0
439,0.4430527157253689
440,1.0202863481309679
441,1.6619269053141277
442,2.347968419392904
443,3.04900328318278
444,3.750830226474338
445,4.426583184136285
446,5.057173834906684
447,5.6447325812445746
448,6.173647774590386
449,6.627142164442274
450,7.821346918741862
451,8.176537089877659
452,8.480708334181044
453,8.727340698242188
454,8.932539621988932
455,9.086583455403646
456,9.204202228122288
457,9.278071721394857
458,9.312504662407768
459,9.309089448716906
460,9.267148971557617
461,9.20366711086697
462,9.11050796508789
463,9.001782735188803
464,8.890928692287869
465,8.775584962632921
466,8.655580414666069
467,8.541971842447916
468,8.429055743747288
469,8.32525306277805
470,8.21933216518826
471,8.111743397182888
472,7.987970246209039
473,7.842359013027615
474,7.6622772216796875
475,7.43211481306288
476,7.139335208468967
477,6.787964502970378
478,6.385640038384332
479,5.934590233696832
480,4.191313319736057
481,3.6677556567721896
482,3.12508053249783
483,2.594096925523546
484,2.0788097381591797
485,1.5982437133789062
486,1.1563762029012044
487,0.7470014360215929
488,0.40266460842556423
489,0.09886105855305989
490,0.0
491,0.0
492,0.0
493,0.0
494,0.0
495,0.0
496,0.0
497,0.0
498,0.0
499,0.0
500,0.0
501,0.0
502,0.0
503,0.10377777947319879
504,0.27312490675184464
505,0.46025753021240234
506,0.669452879163954
507,0.9100484848022461
508,1.1680905024210613
509,1.4232439464992948
510,2.3580280939737954
511,2.7992783652411566
512,3.2456074820624456
513,3.7107377582126193
514,4.208314153883192
515,4.73129219479031
516,5.286094877454969
517,5.8552900950113935
518,6.456806394788954
519,7.063524458143446
520,7.673752042982313
521,8.268816736009386
522,8.84115219116211
523,9.40164672003852
524,9.939014646742079
525,10.451295640733507
526,10.932997597588432
527,11.381933424207899
528,11.80476082695855
529,12.197515699598524
530,12.554615868462456
531,12.872273127237955
532,13.144844902886284
533,13.372628953721788
534,13.55809105767144
535,13.70308452182346
536,13.810439639621311
537,13.899046579996744
538,13.966725667317709
539,14.007887310451931
540,14.014647801717123
541,14.066894319322374
542,14.019631279839409
543,13.873839908175999
544,13.655178281995985
545,13.364027871025932
546,13.021930058797201
547,12.631493674384224
548,12.209005355834961
549,11.769365734524197
550,11.317893134223091
551,10.891561508178711
552,10.491423077053494
553,10.144339667426216
554,9.881803724500868
555,9.698879453870985
556,9.594166013929579
557,9.563966327243381
558,9.592647552490234
559,9.670708974202475
560,9.759563869900173
561,9.838781356811523
562,9.875652525160048
563,9.848107231987846
564,9.742410447862413
565,9.54832394917806
566,9.256629943847656
567,8.874674373202854
568,8.410232861836752
569,7.865747875637478
570,7.512623998853895
571,6.62692387898763
572,5.688652992248535
573,4.744402567545573
574,3.812824355231391
575,2.9321522182888455
576,2.120412720574273
577,1.3820611106024847
578,0.7603491677178277
579,0.2378209431966146
580,0.0
581,0.0
582,0.0
583,0.0
584,0.0
585,0.0
586,0.0
587,0.0
588,0.0
589,0.0
590,0.0
591,0.0
592,0.12215402391221789
593,0.2385075887044271
594,0.36447101169162327
595,0.5151436063978407
596,0.7047372394137912
597,0.9475549062093099
598,1.2273179160224066
599,1.52201599544949
600,3.092805544535319
601,3.116657998826769
602,3.1204122967190213
603,3.116336398654514
604,3.0818012025621204
605,3.0287758509318032
606,2.9477824105156794
607,2.833543883429633
608,2.718094719780816
609,2.576673295762804
610,2.4474143981933594
611,2.2984102037217884
612,2.157990667555067
613,2.033048735724555
614,1.913244989183214
615,1.797005335489909
616,1.708023813035753
617,1.6370630264282227
618,1.6018014483981662
619,1.5899605221218533
