GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated),
Tue Feb 02 17:00:28 GMT+09:00 2021,02-2월-2021 17:00:31.777,127.04067533835769,37.56595802027732,0.0,4.5,40.0,0.0,3.83790541,-2.33913517,9.12909126,0.05626076,
Tue Feb 02 17:00:29 GMT+09:00 2021,02-2월-2021 17:00:32.776,127.04067039303482,37.565955966711044,0.47,4.0,40.0,244.9,4.07253695,-2.40138435,8.77714348,0.03525645,
Tue Feb 02 17:00:30 GMT+09:00 2021,02-2월-2021 17:00:33.776,127.04065932892263,37.565953116863966,1.73,3.5,41.0,262.1,4.14077187,-3.56855774,8.45392609,0.04522294,
Tue Feb 02 17:00:31 GMT+09:00 2021,02-2월-2021 17:00:34.776,127.04063460230827,37.565954541787505,2.32,4.5,42.0,274.3,4.65432787,-2.59890604,9.14585018,0.09810418,
Tue Feb 02 17:00:32 GMT+09:00 2021,02-2월-2021 17:00:35.776,127.04059914685786,37.56595881655812,3.02,5.0,42.0,277.4,4.31554842,-2.32357264,8.41322517,0.01153833,
Tue Feb 02 17:00:33 GMT+09:00 2021,02-2월-2021 17:00:36.776,127.04055128619075,37.56596422288567,4.73,5.0,43.0,275.4,3.45004463,-3.19985056,9.33259869,0.08441871,
Tue Feb 02 17:00:34 GMT+09:00 2021,02-2월-2021 17:00:37.776,127.04048448242247,37.5659788493067,5.3599997,5.0,44.0,277.7,3.24294615,-3.22977805,7.94276428,-0.04653549,
Tue Feb 02 17:00:35 GMT+09:00 2021,02-2월-2021 17:00:38.776,127.04040544107556,37.565991883166134,6.7599998,5.0,44.0,279.5,3.63559532,-3.60686493,8.10556984,-0.00364304,
Tue Feb 02 17:00:36 GMT+09:00 2021,02-2월-2021 17:00:39.776,127.04032841138542,37.566008982248604,6.7799997,5.0,45.0,279.7,3.50151992,-4.49271965,8.54490566,0.06582981,
Tue Feb 02 17:00:37 GMT+09:00 2021,02-2월-2021 17:00:40.776,127.04025020822883,37.56602700334042,5.9,5.0,45.0,279.7,1.50475574,-2.37265396,6.4858923,-0.26048225,
Tue Feb 02 17:00:38 GMT+09:00 2021,02-2월-2021 17:00:41.776,127.04018298536539,37.56604338996112,5.74,5.0,46.0,280.4,1.8722657,-3.66552281,9.28710842,0.05450839,
Tue Feb 02 17:00:39 GMT+09:00 2021,02-2월-2021 17:00:42.776,127.04011961817741,37.56605738773942,4.66,5.5,46.0,279.7,2.14041638,-4.29160643,8.84058952,0.04423934,
Tue Feb 02 17:00:40 GMT+09:00 2021,02-2월-2021 17:00:43.776,127.04009329900146,37.56605315487832,2.61,5.5,47.0,274.3,2.43131185,-4.24013138,9.04529381,0.06705374,
Tue Feb 02 17:00:41 GMT+09:00 2021,02-2월-2021 17:00:44.776,127.04006974585354,37.566036097705364,3.29,5.5,47.0,244.1,3.13760138,-4.83748436,8.45751762,0.06242353,
Tue Feb 02 17:00:42 GMT+09:00 2021,02-2월-2021 17:00:45.776,127.0400474499911,37.56601237691939,3.25,5.5,48.0,220.3,2.96282458,-3.55778384,9.20211411,0.06907302,
Tue Feb 02 17:00:43 GMT+09:00 2021,02-2월-2021 17:00:46.776,127.0400342065841,37.565991464070976,1.49,5.0,49.0,204.0,3.7301662,-3.00352597,8.9411459,0.05293959,
