,speed
1008.0,19.44
1009.0,19.44
1010.0,19.44
1011.0,19.44
1012.0,19.44
1013.0,19.44
1014.0,19.44
1015.0,19.44
1016.0,19.44
1017.0,19.44
1018.0,19.44
1019.0,19.44
1020.0,19.44
1021.0,19.44
1022.0,19.44
1023.0,19.44
1024.0,19.44
1025.0,19.44
1026.0,19.44
1027.0,19.44
1028.0,19.44
1029.0,19.44
1030.0,19.44
1031.0,19.44
1032.0,19.68
1033.0,19.92
1034.0,20.16
1035.0,20.400000000000002
1036.0,20.64
1037.0,20.880000000000003
1038.0,21.12
1039.0,21.36
1040.0,21.6
1041.0,21.84
1042.0,22.080000000000002
1043.0,22.32
1044.0,22.560000000000002
1045.0,22.8
1046.0,23.04
1047.0,23.28
1048.0,23.520000000000003
1049.0,23.76
1050.0,24.0
1051.0,24.240000000000002
1052.0,24.48
1053.0,24.72
1054.0,24.96
1055.0,25.200000000000003
1056.0,25.44
1057.0,25.68
1058.0,25.92
1059.0,26.16
1060.0,26.400000000000002
1061.0,26.64
1062.0,26.880000000000003
1063.0,27.12
1064.0,27.36
1065.0,27.6
1066.0,27.77
1067.0,27.77
1068.0,27.77
1069.0,27.77
1070.0,27.77
1071.0,27.77
1072.0,27.77
1073.0,27.77
1074.0,27.77
1075.0,27.77
1076.0,27.77
1077.0,27.77
1078.0,27.77
1079.0,27.77
1080.0,27.77
1081.0,27.77
1082.0,27.77
1083.0,27.77
1084.0,27.77
1085.0,27.77
1086.0,27.77
1087.0,27.77
1088.0,27.77
1089.0,27.77
1090.0,27.77
1091.0,27.77
1092.0,27.77
1093.0,27.77
1094.0,27.77
1095.0,27.77
1096.0,27.77
1097.0,28.05
1098.0,28.33
1099.0,28.61
1100.0,28.89
1101.0,29.169999999999998
1102.0,29.45
1103.0,29.73
1104.0,30.009999999999998
1105.0,30.29
1106.0,30.57
1107.0,30.85
1108.0,31.13
1109.0,31.41
1110.0,31.69
1111.0,31.97
1112.0,32.25
1113.0,32.53
1114.0,32.81
1115.0,33.09
1116.0,33.33
1117.0,33.33
1118.0,33.33
1119.0,33.33
1120.0,33.33
1121.0,33.33
1122.0,33.33
1123.0,33.33
1124.0,33.33
1125.0,33.33
1126.0,33.33
1127.0,32.64
1128.0,31.95
1129.0,31.259999999999998
1130.0,30.57
1131.0,29.88
1132.0,29.189999999999998
1133.0,28.5
1134.0,27.81
1135.0,27.119999999999997
1136.0,26.43
1137.0,25.74
1138.0,25.049999999999997
1139.0,24.36
1140.0,23.669999999999998
1141.0,22.979999999999997
1142.0,22.22
1143.0,21.18
1144.0,20.14
1145.0,19.099999999999998
1146.0,18.06
1147.0,17.02
1148.0,15.979999999999999
1149.0,14.939999999999998
1150.0,13.88
1151.0,12.49
1152.0,11.100000000000001
