GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated),
Tue Feb 02 18:24:27 GMT+09:00 2021,02-2월-2021 18:24:31.302,127.04176565632224,37.56397892720997,16.21,4.0,46.0,359.6,3.07894349,-2.70305371,6.33984613,-0.21152884,
Tue Feb 02 18:24:28 GMT+09:00 2021,02-2월-2021 18:24:32.302,127.04176213592291,37.56412452086806,16.279999,3.5,45.0,0.0,2.68030882,-3.65474892,9.73961258,0.11405593,
Tue Feb 02 18:24:29 GMT+09:00 2021,02-2월-2021 18:24:33.302,127.04176071099937,37.56426248699427,15.04,3.5,45.0,359.9,2.45764804,-3.26808524,8.94234371,0.02133435,
Tue Feb 02 18:24:30 GMT+09:00 2021,02-2월-2021 18:24:34.302,127.04176062718034,37.56439592689276,14.389999,3.5,45.0,359.8,2.39779305,-4.00310516,9.39005947,0.08786684,
Tue Feb 02 18:24:31 GMT+09:00 2021,02-2월-2021 18:24:35.302,127.0417610462755,37.564529492519796,14.219999,3.5,45.0,359.7,2.85388851,-4.21738625,9.15662479,0.08702713,
Tue Feb 02 18:24:32 GMT+09:00 2021,02-2월-2021 18:24:36.302,127.04176020808518,37.56465828046203,13.4,3.5,44.0,358.9,2.70425081,-5.13795662,8.82263279,0.09563023,
Tue Feb 02 18:24:33 GMT+09:00 2021,02-2월-2021 18:24:37.301,127.04175819642842,37.56477487273514,12.04,3.0,44.0,359.9,2.7605145,-5.43842936,8.24682808,0.06457108,
Tue Feb 02 18:24:34 GMT+09:00 2021,02-2월-2021 18:24:38.302,127.04175140708685,37.564869252964854,9.51,3.5,43.0,358.9,3.07535219,-5.86459684,8.31506252,0.10256249,
Tue Feb 02 18:24:35 GMT+09:00 2021,02-2월-2021 18:24:39.302,127.04174688085914,37.56494355853647,6.8399997,3.5,43.0,357.7,2.97359848,-5.18344688,8.76158142,0.10008627,
Tue Feb 02 18:24:36 GMT+09:00 2021,02-2월-2021 18:24:40.302,127.04174998216331,37.56499213166535,3.78,3.5,44.0,355.7,2.7413609,-4.30477476,8.95072269,0.0693031,
Tue Feb 02 18:24:37 GMT+09:00 2021,02-2월-2021 18:24:41.302,127.04174688085914,37.56501547526568,1.64,3.5,44.0,356.6,2.72819281,-3.96479797,8.91959858,0.05214792,
Tue Feb 02 18:24:38 GMT+09:00 2021,02-2월-2021 18:24:42.301,127.04174344427884,37.565024737268686,0.45999998,3.5,44.0,356.2,2.47201324,-2.55341601,9.45949078,0.04907995,
Tue Feb 02 18:24:39 GMT+09:00 2021,02-2월-2021 18:24:43.302,127.04174168407917,37.56502892822027,0.19,3.5,44.0,356.1,2.78325939,-2.99873757,9.51934624,0.07519954,
Tue Feb 02 18:24:40 GMT+09:00 2021,02-2월-2021 18:24:44.302,127.04173816367984,37.56502964068204,0.16,3.5,44.0,356.0,2.70903921,-2.94845939,9.24401283,0.04590422,
Tue Feb 02 18:24:41 GMT+09:00 2021,02-2월-2021 18:24:45.302,127.04173816367984,37.56502955686301,0.0,3.5,44.0,0.0,2.81917238,-3.02507377,9.46068764,0.07148653,
Tue Feb 02 18:24:42 GMT+09:00 2021,02-2월-2021 18:24:46.302,127.04173841513693,37.56502955686301,0.0,3.5,44.0,0.0,2.66235232,-2.94965649,9.21408558,0.04186839,
Tue Feb 02 18:24:43 GMT+09:00 2021,02-2월-2021 18:24:47.301,127.04173841513693,37.56502955686301,0.0,3.5,44.0,0.0,2.72460151,-2.98437238,9.43195724,0.06499141,
Tue Feb 02 18:24:44 GMT+09:00 2021,02-2월-2021 18:24:48.302,127.04173841513693,37.56502955686301,0.0,3.5,44.0,0.0,2.62045383,-2.9161377,9.20091724,0.03850812,
Tue Feb 02 18:24:45 GMT+09:00 2021,02-2월-2021 18:24:49.302,127.04173841513693,37.56502955686301,0.0,3.5,44.0,0.0,2.52947402,-2.907758,9.29788208,0.04499227,
Tue Feb 02 18:24:46 GMT+09:00 2021,02-2월-2021 18:24:50.302,127.04173841513693,37.56502955686301,0.0,3.5,44.0,0.0,2.69347692,-2.94726229,9.39005947,0.05912691,
Tue Feb 02 18:24:47 GMT+09:00 2021,02-2월-2021 18:24:51.302,127.04173841513693,37.56502955686301,0.0,3.5,44.0,0.0,2.52707982,-2.94726229,9.39843845,0.05556804,
Tue Feb 02 18:24:48 GMT+09:00 2021,02-2월-2021 18:24:52.302,127.04173841513693,37.56502955686301,0.0,3.5,44.0,0.0,2.78924489,-3.02148247,9.46188545,0.07066232,
Tue Feb 02 18:24:49 GMT+09:00 2021,02-2월-2021 18:24:53.302,127.04173841513693,37.56502955686301,0.0,4.0,44.0,0.0,2.7377696,-2.93768549,9.22246456,0.0443607,
Tue Feb 02 18:24:50 GMT+09:00 2021,02-2월-2021 18:24:54.303,127.04173841513693,37.56502955686301,0.0,4.0,44.0,0.0,2.55341601,-2.97479558,9.45230865,0.06212515,
Tue Feb 02 18:24:51 GMT+09:00 2021,02-2월-2021 18:24:55.302,127.04173841513693,37.56502955686301,0.0,4.0,44.0,0.0,2.62284803,-2.9149406,9.2356329,0.04179305,
Tue Feb 02 18:24:52 GMT+09:00 2021,02-2월-2021 18:24:56.302,127.04173841513693,37.56502955686301,0.0,3.5,44.0,0.0,2.55341601,-2.93888259,9.42357826,0.05835944,
Tue Feb 02 18:24:53 GMT+09:00 2021,02-2월-2021 18:24:57.302,127.04173841513693,37.56502955686301,0.0,4.0,44.0,0.0,2.7593174,-2.99634337,9.47505283,0.07032639,
Tue Feb 02 18:24:54 GMT+09:00 2021,02-2월-2021 18:24:58.302,127.04173841513693,37.56502955686301,0.0,3.5,44.0,0.0,2.70065951,-2.91972899,9.20929718,0.04157156,
Tue Feb 02 18:24:55 GMT+09:00 2021,02-2월-2021 18:24:59.302,127.04173841513693,37.56502955686301,0.0,3.5,44.0,0.0,2.73178411,-2.98796368,9.45709705,0.06764799,
Tue Feb 02 18:24:56 GMT+09:00 2021,02-2월-2021 18:25:00.302,127.04173841513693,37.56502955686301,0.0,3.5,44.0,0.0,2.71263051,-3.00951147,9.45829391,0.06788379,
Tue Feb 02 18:24:57 GMT+09:00 2021,02-2월-2021 18:25:01.302,127.04173841513693,37.56502955686301,0.0,4.0,44.0,0.0,2.69946241,-2.91733479,9.25119495,0.04539043,
Tue Feb 02 18:24:58 GMT+09:00 2021,02-2월-2021 18:25:02.301,127.04173841513693,37.56502955686301,0.0,4.0,44.0,0.0,2.71741891,-3.01190567,9.46547604,0.06875688,
Tue Feb 02 18:24:59 GMT+09:00 2021,02-2월-2021 18:25:03.301,127.04173841513693,37.56502955686301,0.0,3.5,44.0,0.0,2.57735825,-2.92691159,9.28232002,0.04533213,
Tue Feb 02 18:25:00 GMT+09:00 2021,02-2월-2021 18:25:04.302,127.04173841513693,37.56502955686301,0.0,3.5,44.0,0.0,2.67192912,-2.93529129,9.36252594,0.05561262,
Tue Feb 02 18:25:01 GMT+09:00 2021,02-2월-2021 18:25:05.301,127.04173841513693,37.56502955686301,0.0,4.0,44.0,0.0,2.68749142,-2.99035788,9.45470238,0.06630439,
